time,x,y
28.700000,987,470
28.733333,987,476
28.766667,986,482
28.800000,986,489
28.833333,985,496
28.866667,985,503
28.900000,985,510
28.933333,985,510
28.966667,984,524
29.000000,984,532
29.033333,984,539
29.066667,984,546
29.100000,984,554
29.133333,984,562
29.166667,984,569
29.200000,985,577
29.233333,985,585
29.266667,985,592
29.300000,985,599
29.333333,985,607
29.366667,986,614
29.400000,986,614
29.433333,987,628
29.466667,987,628
29.500000,988,642
29.533333,988,648
29.566667,989,655
29.600000,990,661
29.633333,990,667
29.666667,991,673
29.700000,992,679
29.733333,992,684
29.766667,993,689
29.800000,994,693
29.833333,995,698
29.866667,996,704
29.900000,996,709
29.933333,996,709
29.966667,999,714
30.000000,1002,714
30.033333,1004,718
30.066667,1003,722
30.100000,1003,725
30.133333,1003,725
30.166667,1003,725
30.200000,992,686
30.233333,1112,602
30.266667,1006,598
30.300000,912,504
30.333333,870,577
30.366667,922,524
30.400000,858,539
30.433333,870,576
30.466667,870,576
30.500000,870,575
30.533333,870,576
30.566667,870,576
30.600000,870,577
30.633333,870,577
30.666667,869,576
30.700000,869,577
30.733333,869,576
30.766667,869,577
30.800000,869,577
30.833333,869,577
30.866667,870,576
30.900000,870,576
30.933333,870,576
30.966667,870,576
31.000000,870,576
31.033333,870,576
31.066667,870,576
31.100000,869,576
31.133333,869,575
31.166667,870,576
31.200000,870,575
31.233333,870,576
31.266667,870,575
31.300000,870,575
31.333333,870,576
31.366667,872,572
31.400000,826,603
31.433333,922,667
31.466667,865,580
31.500000,868,578
31.533333,871,575
31.566667,870,577
31.600000,867,578
31.633333,869,577
31.666667,872,574
31.700000,872,575
31.733333,869,576
31.766667,870,576
31.800000,871,575
31.833333,870,576
31.866667,870,578
31.900000,870,575
31.933333,870,576
31.966667,869,577
32.000000,869,577
32.033333,870,577
32.066667,870,577
32.100000,870,577
32.133333,870,577
32.166667,870,577
32.200000,870,576
32.233333,870,576
32.266667,870,576
32.300000,871,576
32.333333,870,576
32.366667,870,577
32.400000,869,578
32.433333,869,577
32.466667,869,577
32.500000,869,577
32.533333,869,576
32.566667,869,576
32.600000,869,576
32.633333,870,576
32.666667,869,576
32.700000,869,577
32.733333,869,577
32.766667,869,577
32.800000,869,577
32.833333,870,577
32.866667,869,577
32.900000,869,577
32.933333,869,577
32.966667,869,577
33.000000,869,577
33.033333,870,577
33.066667,870,577
33.100000,910,554
33.133333,870,577
33.166667,869,577
33.200000,870,578
33.233333,870,578
33.266667,870,578
33.300000,870,578
33.333333,870,578
33.366667,870,577
33.400000,870,578
33.433333,870,578
33.466667,870,578
33.500000,870,578
33.533333,870,578
33.566667,869,577
33.600000,870,577
33.633333,870,577
33.666667,869,578
33.700000,870,578
33.733333,870,578
33.766667,869,577
33.800000,869,577
33.833333,870,577
33.866667,869,577
33.900000,869,577
33.933333,870,578
33.966667,870,578
34.000000,870,577
34.033333,869,578
34.066667,870,578
34.100000,870,577
34.133333,870,577
34.166667,870,577
34.200000,870,577
34.233333,870,579
34.266667,869,577
34.300000,870,578
34.333333,870,577
